year,month,day,obs_time,SO2,NO2,PM10,PM25,CO2,O3
2010,6,10,12,99999,19,99999,99999,99999,99999
2010,6,10,13,99999,18,99999,99999,99999,99999
2010,6,10,14,99999,22,99999,99999,99999,99999
2010,6,10,15,99999,26,99999,99999,99999,99999
2010,6,10,16,99999,30,99999,99999,99999,99999
2010,6,10,17,99999,24,99999,99999,99999,99999
2010,6,10,18,99999,26,99999,99999,99999,99999
2010,6,10,19,99999,28,99999,99999,99999,99999
2010,6,10,20,99999,24,99999,99999,99999,99999
2010,6,10,21,99999,25,99999,99999,99999,99999
2010,6,10,22,99999,21,99999,99999,99999,99999
2010,6,10,23,99999,18,99999,99999,99999,99999
2010,6,11,0,99999,13,99999,99999,99999,99999
2010,6,11,1,99999,14,99999,99999,99999,99999
2010,6,11,2,99999,10,99999,99999,99999,99999
2010,6,11,3,99999,11,99999,99999,99999,99999
2010,6,11,4,99999,10,99999,99999,99999,99999
2010,6,11,5,99999,7,99999,99999,99999,99999
2010,6,11,6,99999,5,99999,99999,99999,99999
2010,6,11,7,99999,6,99999,99999,99999,99999
2010,6,11,8,99999,8,99999,99999,99999,99999
2010,6,11,9,99999,10,99999,99999,99999,99999
2010,6,11,10,99999,7,99999,99999,99999,99999
2010,6,11,11,99999,4,99999,99999,99999,99999
2010,6,11,12,99999,9,99999,99999,99999,99999
2010,6,11,13,99999,27,99999,99999,99999,99999
2010,6,11,14,99999,21,99999,99999,99999,99999
2010,6,11,15,99999,10,99999,99999,99999,99999
2010,6,11,16,99999,18,99999,99999,99999,99999
2010,6,11,17,99999,19,99999,99999,99999,99999
2010,6,11,18,99999,14,99999,99999,99999,99999
2010,6,11,19,99999,14,99999,99999,99999,99999
2010,6,11,20,99999,13,99999,99999,99999,99999
2010,6,11,21,99999,20,99999,99999,99999,99999
2010,6,11,22,99999,19,99999,99999,99999,99999
2010,6,11,23,99999,14,99999,99999,99999,99999
2010,6,12,0,99999,13,99999,99999,99999,99999
2010,6,12,1,99999,15,99999,99999,99999,99999
2010,6,12,2,99999,10,99999,99999,99999,99999
2010,6,12,3,99999,10,99999,99999,99999,99999
2010,6,12,4,99999,9,99999,99999,99999,99999
2010,6,12,5,99999,9,99999,99999,99999,99999
2010,6,12,6,99999,7,99999,99999,99999,99999
2010,6,12,7,99999,6,99999,99999,99999,99999
2010,6,12,8,99999,8,99999,99999,99999,99999
2010,6,12,9,99999,8,99999,99999,99999,99999
2010,6,12,10,99999,7,99999,99999,99999,99999
2010,6,12,11,99999,5,99999,99999,99999,99999
2010,6,12,12,99999,12,99999,99999,99999,99999
2010,6,12,13,99999,12,99999,99999,99999,99999
2010,6,12,14,99999,14,99999,99999,99999,99999
2010,6,12,15,99999,12,99999,99999,99999,99999
2010,6,12,16,99999,10,99999,99999,99999,99999
2010,6,12,17,99999,14,99999,99999,99999,99999
2010,6,12,18,99999,9,99999,99999,99999,99999
2010,6,12,19,99999,7,99999,99999,99999,99999
2010,6,12,20,99999,19,99999,99999,99999,99999
2010,6,12,21,99999,21,99999,99999,99999,99999
2010,6,12,22,99999,25,99999,99999,99999,99999
2010,6,12,23,99999,19,99999,99999,99999,99999
2010,6,13,0,99999,10,99999,99999,99999,99999
2010,6,13,1,99999,12,99999,99999,99999,99999
2010,6,13,2,99999,11,99999,99999,99999,99999
2010,6,13,3,99999,13,99999,99999,99999,99999
2010,6,13,4,99999,11,99999,99999,99999,99999
2010,6,13,5,99999,14,99999,99999,99999,99999
2010,6,13,6,99999,11,99999,99999,99999,99999
2010,6,13,7,99999,6,99999,99999,99999,99999
2010,6,13,8,99999,6,99999,99999,99999,99999
2010,6,13,9,99999,6,99999,99999,99999,99999
2010,6,13,10,99999,7,99999,99999,99999,99999
2010,6,13,11,99999,6,99999,99999,99999,99999
2010,6,13,12,99999,13,99999,99999,99999,99999
2010,6,13,13,99999,19,99999,99999,99999,99999
2010,6,13,14,99999,21,99999,99999,99999,99999
2010,6,13,15,99999,42,99999,99999,99999,99999
2010,6,13,16,99999,32,99999,99999,99999,99999
2010,6,13,17,99999,13,99999,99999,99999,99999
2010,6,13,18,99999,11,99999,99999,99999,99999
2010,6,13,19,99999,14,99999,99999,99999,99999
2010,6,13,20,99999,23,99999,99999,99999,99999
2010,6,13,21,99999,12,99999,99999,99999,99999
2010,6,13,22,99999,8,99999,99999,99999,99999
2010,6,13,23,99999,10,99999,99999,99999,99999
2010,6,14,0,99999,7,99999,99999,99999,99999
2010,6,14,1,99999,9,99999,99999,99999,99999
